,PLAN,ISIN,VALOR,CUPON,FEC_VTO,NOM,MATURITY,YRS_TO_MAT
612,u125,XS0874864860,TEF 3.987% 23/01/2023,3.99,1/23/2023,16900000.0,2023,3
802,u130,FR0000578593,FRANCE O.A.T. STRIP  0%  25/10/2031,0.0,10/25/2031,24500000.0,2031,11
801,u130,ES0000012593,BON Y OBLI EST PRINCIPAL  0%  30/07/2032,0.0,7/30/2032,5200000.0,2032,12
799,u130,ES0000012759,BON Y OBLIG ESTADO STRIP  0%  30/07/2030,0.0,7/30/2030,6000000.0,2030,10
810,u202,,Fiduciary depositJP_MORGAN28.12.2040,0.0,12/28/2040,19654652.0,2040,20
814,u202,ES0371622020,"TDA.4,25% 04/31",4.25,4/10/2031,8000000.0,2031,11
813,u202,ES0312342019,"AYTCED 3,75%",3.75,6/30/2025,3400000.0,2025,5
823,u206,ES0000011868,ESTADO6%E/01-29,6.0,1/31/2029,42950000.0,2029,9
825,u206,ES00000121S7,"ESTADO4,7 07/41",4.7,7/30/2041,15000000.0,2041,21
838,u206,ES0000012007,BON Y OBLIG ESTADO STRIP  0%  31/01/2026,0.0,1/31/2026,1000000.0,2026,6
868,u207,ES00000120D1,BON Y OBLI EST PRINCIPAL  0%  31/01/2037,0.0,1/31/2037,6800000.0,2037,17
847,u207,FR0010916924,"FRANCE3,5 0426",3.5,4/25/2026,1000000.0,2026,6
849,u207,XS0975634204,BEI 3% 14/10/2033,3.0,10/14/2033,1500000.0,2033,13
877,u210,,Drawable BondsRBOS_NV28.02.2041,0.0,2/28/2041,494269700.0,2041,21
875,u210,,Fiduciary depositJP_MORGAN28.08.2048,0.0,8/28/2048,7890436.5,2048,28
873,u210,,Fiduciary depositJP_MORGAN25.12.2042,0.0,12/25/2042,6918037.0,2042,22
945,u220,ES0000012593,BON Y OBLI EST PRINCIPAL  0%  30/07/2032,0.0,7/30/2032,2500000.0,2032,12
937,u220,ES0000011868,ESTADO6%E/01-29,6.0,1/31/2029,1292012.1,2029,9
944,u220,ES0000011959,BON Y OBLIG ESTADO STRIP  0%  31/01/2021,0.0,1/31/2021,250000.0,2021,1
962,u221,XS1499594916,NEDWBK 0.75 04/10/2041,0.75,10/4/2041,1300000.0,2041,21
959,u221,FR0013428513,ENGIFP 1.375 21/06/2039,1.38,6/21/2039,900000.0,2039,19
951,u221,XS1223842847,"REDEXIS 1,875 27/04/27",1.88,1/27/2027,400000.0,2027,7
988,u229,,Fiduciary depositJP_MORGAN28.12.2045,0.0,12/28/2045,21473320.0,2045,25
990,u229,,Drawable BondsBAYER_HYPO28.08.2040,0.0,8/28/2040,13845564.0,2040,20
989,u229,,Fiduciary depositJP_MORGAN28.11.2044,0.0,11/28/2044,14682910.0,2044,24
1020,u230,ES0000011868,ESTADO6%E/01-29,6.0,1/31/2029,4500000.0,2029,9
1025,u230,ES00000122U1,"STRIP""0"" 07/25",0.0,7/30/2025,2600000.0,2025,5
1021,u230,XS0053792700,INT BK RECON&DEV  0%  28/10/2024,0.0,10/28/2024,511291.88,2024,4
1031,u231,BE0000331406,"BGB 3,75 22/06/2045",3.75,6/22/2045,2367000.0,2045,25
1027,u231,ES00000121S7,"ESTADO4,7 07/41",4.7,7/30/2041,2779000.0,2041,21
1030,u231,XS1190974011,"BP CAP 1,573 16/02/2027",1.57,2/16/2027,450000.0,2027,7
1086,u301,XS0097284573,"NIBC5,5 05/29",5.5,5/7/2029,6000000.0,2029,9
1091,u301,ES00000120O8,BON Y OBLI EST PRINCIPAL  0%  30/07/2040,0.0,7/30/2040,3000000.0,2040,20
1090,u301,XS0083662923,EUROPEAN BK RECON & DEV  0%  04/02/2048,0.0,2/4/2048,2628765.5,2048,28
1104,u302,ES0413211790,"BBVA 3,875% 30/01/2023",3.88,1/30/2023,7300000.0,2023,3
1143,u302,ES00000120O8,BON Y OBLI EST PRINCIPAL  0%  30/07/2040,0.0,7/30/2040,8000000.0,2040,20
1093,u302,ES0000011868,ESTADO6%E/01-29,6.0,1/31/2029,2366000.0,2029,9
1156,u303,ES0000012411,"ESTADO 5,75% 07/32",5.75,7/30/2032,9200000.0,2032,12
1161,u303,ES00000127A2,"ESTADO 1,95 07/30",1.95,7/30/2030,3000000.0,2030,10
1158,u303,EU000A1G0A16,"EFSF 2,25% 05/09/2022",2.25,9/5/2022,1800000.0,2022,2
1189,u304,ES00000122V9,"STRIP""0"" 07/41",0.0,7/30/2041,9000000.0,2041,21
1170,u304,ES00000122E5,"ESTADO4,65 0725",4.65,7/30/2025,2565000.0,2025,5
1171,u304,ES0413900129,BSCH3.875 02/26,3.88,2/6/2026,1300000.0,2026,6
1237,u310,ES00000120O8,BON Y OBLI EST PRINCIPAL  0%  30/07/2040,0.0,7/30/2040,1800000.0,2040,20
1228,u310,FR0013480514,"CRH 0,25% 07/02/2035",0.25,2/7/2035,900000.0,2035,15
1195,u310,ES0000012932,"ESTADO 4,20% 01/37",4.2,1/31/2037,1211000.0,2037,17
1284,u311,ES00000120O8,BON Y OBLI EST PRINCIPAL  0%  30/07/2040,0.0,7/30/2040,2700000.0,2040,20
1240,u311,ES0000012932,"ESTADO 4,20% 01/37",4.2,1/31/2037,1816000.0,2037,17
1273,u311,FR0013480514,"CRH 0,25% 07/02/2035",0.25,2/7/2035,1400000.0,2035,15
