PLAN,ISIN,VALOR,CUPON,FEC_VTO,VC_ACTUAL,NOM,TYPEB,SECTOR,RATING,VM,CUPON_CORRIDO,CALL,TIPO_PRODUCTO,TIR_MDO,DUR,TirContable,Frecuencia,PRECIO,EMISOR,PAIS,TIPO_CUPON,SENIORITY
u102,ES0000012932,"ESTADO 4,20% 01/37",4.20,1/31/2037,"48,474,638.94","62,400,000.00",B,A99,BBB+,99388848,2398819.67,N,40,0.58,12.748,6.47,1.00,159.28,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u102,ES0414970246,"CAIXAB3,625 01/21",3.63,1/18/2021,"149,849.61","150,000.00",B,DDA,AA,150232.5,5170.08,N,40,99.88,0.047,5.63,1.00,100.16,Caja de Ahorros y Pensiones de Barcelona,ES,Fixed excl,SENIOR SECURED
u102,ES0414970204,"CAIXAB3,875 02/25",3.88,2/17/2025,"18,627,180.30","20,000,000.00",B,DDA,AA,23534000,673360.66,N,40,0.38,3.811,5.79,1.00,117.67,Caja de Ahorros y Pensiones de Barcelona,ES,Fixed excl,SENIOR SECURED
u102,ES0312298021,"AYTCED 3,75% 12/22",3.75,12/14/2022,"29,509,779.93","32,000,000.00",B,DDA,A,34571200,55890.41,N,40,-0.26,1.916,8.22,1.00,108.04,AyT Cedulas Cajas FTA,ES,Fixed excl,SENIOR SECURED
u102,ES0000011868,ESTADO6%E/01-29,6.00,1/31/2029,"31,948,370.89","34,627,761.41",B,A99,BBB+,51872386.59,1901688.53,N,40,0.42,6.702,7.30,1.00,149.80,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u102,ES0000012411,"ESTADO 5,75% 07/32",5.75,7/30/2032,"28,988,276.84","31,000,000.00",B,A99,BBB+,50968650,752068.49,N,40,0.30,9.348,6.56,1.00,164.42,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u102,DEA007072027,"BSCH 7,52% 07/27",7.52,7/7/2027,"2,706,461.49","2,704,554.47",B,CCA,A,4057556.23,98301.54,N,40,0.32,5.493,7.49,1.00,150.03,Banco Santander de Negocios Espa SA,ES,Fixed excl,SENIOR UNSECURED
u102,ES0413211071,BBVA 4% 25/02/25,4.00,2/25/2025,"9,367,717.12","9,900,000.00",B,DDA,AA+,11730510,335409.84,N,40,0.33,3.824,5.48,1.00,118.49,Banco Bilbao Vizcaya Argentaria SA,ES,Fixed excl,SENIOR SECURED
u102,ES0414970303,"CAIXAB 4,50% 26/01/22",4.50,1/26/2022,"16,847,423.13","17,000,000.00",B,DDA,AA,17898450,710655.74,N,40,3.43,1.027,5.38,1.00,105.29,Caja de Ahorros y Pensiones de Barcelona,ES,Fixed excl,SENIOR SECURED
u102,ES0371622020,"TDA.4,25% 04/31",4.25,4/10/2031,"2,784,254.34","4,000,000.00",B,DDA,A-,5796400,123424.66,N,40,0.15,8.698,8.87,1.00,144.91,Cedulas TDA,ES,Fixed excl,SENIOR SECURED
u102,ES0213211131,"BBVA 6,2% 07/23",6.20,7/4/2023,"19,981,362.96","20,000,000.00",B,CCA,BBB-,23124500,611506.85,N,40,1.09,2.349,6.22,1.00,115.62,Banco Bilbao Vizcaya Argentaria SA,ES,Fixed excl,SUBORDINATED
u102,ES00000121S7,"ESTADO4,7 07/41",4.70,7/30/2041,"67,850,125.27","84,700,000.00",B,A99,BBB+,151790870,1679612.6,N,40,0.67,15.564,6.47,1.00,179.21,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u102,ES00000123C7,"ESTADO5,9 07/26",5.90,7/30/2026,"2,916,870.10","3,000,000.00",B,A99,BBB+,4060770,74679.45,N,40,0.01,4.933,6.50,1.00,135.36,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u102,FR0011289230,"GDF_SUEZ 2,625 07/22",2.63,7/20/2022,"154,737.94","155,000.00",B,CBB,BBB+,161723.9,1828.15,N,40,0.57,1.523,2.73,1.00,104.34,GDF_SUEZ,FR,Fixed excl,SENIOR UNSECURED
u102,XS0100064491,"RABOBANK yr ""0"" convert to CMS Floor 5%",5.00,7/23/2029,"10,002,817.91","10,000,000.00",B,CCA,AA-,14254880.6,218055.56,N,41,0.23,0.559,4.99,1.00,142.55,Rabobank Nederland NV,NL,Floater (v,SENIOR UNSECURED
u102,XS0097358443,EARLS FOUR LTD  0%  15/10/2038,0.00,10/15/2021,"17,196,259.07","4,000,000.00",B,CCA,BBB+,18573600,0,N,42,-0.58,0.795,9.51,0.00,464.34,Earls Four Ltd,KY,Zero bonds,SENIOR SECURED
u102,NL0000103000,NETHERLAND PRINC STRIP  0%  15/01/2023,0.00,1/15/2023,"10,396,305.67","11,717,000.00",B,A99,AAA,11880996.87,0,N,42,-0.68,2.041,6.03,0.00,101.40,Kingdom of the Netherlands,NL,Zero bonds,SENIOR UNSECURED
u102,XS0121024292,LB BADEN-WUERTTEMBERG  0%  01/12/2025,0.00,12/1/2025,"8,931,736.46","12,000,000.00",B,BB9,AAA,12074709.6,0,N,42,-0.13,4.918,6.19,0.00,100.62,Landesbank Baden-Wuertemberg,DE,Zero bonds,SENIOR UNSECURED
u102,XS0071094667,DRESDNER BANK AG  0%  20/11/2026,0.00,11/20/2026,"18,736,457.15","25,822,844.95",B,CCA,BBB,24113630.84,0,N,42,1.17,5.888,5.60,0.00,93.38,Dresdner Bank AG,DE,Zero bonds,SENIOR UNSECURED
u102,XS0071948540,UNION BANK SWITZ FIN NV  0%  29/01/2027,0.00,1/29/2027,"8,039,097.92","11,486,001.44",B,CCA,AA-,11644826.08,0,N,42,-0.23,6.079,6.04,0.00,101.38,UBS FINANCE CURACAO NV,CW,Zero bonds,SENIOR UNSECURED
u102,IT0001247292,BUONI POLIENNALI STRIP  0%  01/05/2022,0.00,5/1/2022,"5,554,339.86","6,000,000.00",B,A99,BBB-,6036462.3,0,N,42,-0.45,1.332,5.93,0.00,100.61,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u102,IT0001247318,BUONI POLIENNALI STRIP  0%  01/05/2023,0.00,5/1/2023,"5,929,207.12","6,800,000.00",B,A99,BBB-,6853812,0,N,42,-0.34,2.332,6.03,0.00,100.79,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u102,BE0364162249,SNCB HOLDINGS  0%  05/04/2022,0.00,4/5/2022,"18,579,086.01","20,000,000.00",B,A99,AA-,20166959.2,0,N,42,-0.66,1.258,6.00,0.00,100.83,Soci騁・Nationale Chemins Belges,BE,Zero bonds,SENIOR UNSECURED
u102,BE0364779596,SNCB HOLDINGS  0%  28/05/2021,0.00,5/28/2021,"7,321,563.41","7,500,000.00",B,A99,AA-,7518609.6,0,N,42,-0.60,0.403,6.03,0.00,100.25,Soci騁・Nationale Chemins Belges,BE,Zero bonds,SENIOR UNSECURED
u102,XS0053792700,INT BK RECON&DEV  0%  28/10/2024,0.00,10/28/2024,"8,111,718.92","10,225,837.62",B,BD9,AAA,10412377.15,0,N,42,-0.47,3.825,6.24,0.00,101.82,International Bank for Rec&Dev,US,Zero bonds,SENIOR UNSECURED
u102,XS0055532534,INTL BK RECON & DEVELOP  0%  10/02/2025,0.00,2/10/2025,"3,752,643.97","4,729,449.90",B,BD9,AAA,4826816.69,0,N,42,-0.49,4.112,5.79,0.00,102.06,International Bank for Rec&Dev,US,Zero bonds,SENIOR UNSECURED
u102,XS0056190688,INTL BK RECON & DEVELOP  0%  10/03/2025,0.00,3/10/2025,"4,239,797.90","5,368,564.75",B,BD9,AAA,5480796.74,0,N,42,-0.49,4.189,5.79,0.00,102.09,International Bank for Rec&Dev,US,Zero bonds,SENIOR UNSECURED
u102,ES0000012668,BON Y OBLIG ESTADO STRIP  0%  30/07/2021,0.00,7/30/2021,"2,077,627.71","2,155,000.00",B,A99,A-,2161692.48,0,N,42,-0.53,0.575,6.53,0.00,100.31,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES0000012742,BON Y OBLIG ESTADO STRIP  0%  30/07/2029,0.00,7/30/2029,"2,219,426.52","4,000,000.00",B,A99,A-,4029592.48,0,N,42,-0.09,8.581,7.11,0.00,100.74,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES0000012775,BON Y OBLIG ESTADO STRIP  0%  30/07/2032,0.00,7/30/2032,"1,360,240.06","3,000,000.00",B,A99,A-,2942042.58,0,N,42,0.17,11.584,7.07,0.00,98.07,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES0000012692,BON Y OBLIG ESTADO STRIP  0%  30/07/2024,0.00,7/30/2024,"1,527,586.16","1,935,000.00",B,A99,A-,1970321.95,0,N,42,-0.50,3.578,6.83,0.00,101.83,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES0000012593,BON Y OBLI EST PRINCIPAL  0%  30/07/2032,0.00,7/30/2032,"11,399,020.13","24,400,000.00",B,A99,A-,23928612.98,0,N,42,0.17,11.584,6.79,0.00,98.07,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,BE0008057060,BELGIUM OLO STRIP  0%  28/03/2023,0.00,3/28/2023,"1,318,847.61","1,505,000.00",B,A99,AA-,1528679.08,0,N,42,-0.70,2.236,6.08,0.00,101.57,Kingdom of Belgium,BE,Zero bonds,SENIOR UNSECURED
u102,XS0083662923,EUROPEAN BK RECON & DEV  0%  04/02/2048,0.00,2/4/2048,"25,090,810.89","105,826,150.28",B,BD9,AAA,34294440.27,0,Y,42,-0.01,7.096,4.49,0.00,32.41,European Bank for Recon & Development,GB,Zero bonds,SENIOR UNSECURED
u102,IT0001247342,BUONI POLIENNALI STRIP  0%  01/11/2024,0.00,11/1/2024,"1,276,820.00","1,600,000.00",B,A99,BBB-,1613238.8,0,N,42,-0.21,3.836,6.06,0.00,100.83,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u102,ES0000011876,BON Y OBLI EST PRINCIPAL  0%  31/01/2029,0.00,1/31/2029,"19,879,764.34","34,200,000.00",B,A99,A-,34545592.03,0,N,42,-0.12,8.088,6.94,0.00,101.01,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES0000011975,BON Y OBLIG ESTADO STRIP  0%  31/01/2023,0.00,1/31/2023,"1,574,619.59","1,800,000.00",B,A99,A-,1820709.47,0,N,42,-0.55,2.082,6.63,0.00,101.15,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES00000120O8,BON Y OBLI EST PRINCIPAL  0%  30/07/2040,0.00,7/30/2040,"3,061,319.49","11,000,000.00",B,A99,A-,9463410,0,N,42,0.77,19.589,6.75,0.00,86.03,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES00000120S9,"STRIP ""0"" 07/36",0.00,7/30/2036,"1,060,297.74","3,000,000.00",B,A99,A-,2812570.8,0,N,42,0.41,15.586,6.90,0.00,93.75,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES00000120U5,"STRIP ""0"" 07/38",0.00,7/30/2038,"1,835,071.40","6,000,000.00",B,A99,A-,5350080,0,N,42,0.65,17.586,6.97,0.00,89.17,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES00000120V3,"STRIP ""0"" 07/39",0.00,7/30/2039,"3,848,569.62","13,400,000.00",B,A99,A-,12111620.69,0,N,42,0.55,18.592,6.94,0.00,90.39,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES00000120W1,"STRIP ""0"" 07/40",0.00,7/30/2040,"2,075,133.72","7,750,000.00",B,A99,A-,6909001.78,0,N,42,0.59,19.589,6.96,0.00,89.15,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES00000122V9,"STRIP""0"" 07/41",0.00,7/30/2041,"4,082,388.14","15,000,000.00",B,A99,A-,12665100,0,N,42,0.83,20.589,6.53,0.00,84.43,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,ES00000122U1,"STRIP""0"" 07/25",0.00,7/30/2025,"18,541,984.62","25,000,000.00",B,A99,A-,25421250,0,N,42,-0.36,4.578,6.75,0.00,101.69,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u102,IT0004869324,ITALY BTPS HYBRID,0.00,11/1/2022,"3,808,232.33","4,250,000.00",B,A99,BBB-,4279238.51,0,N,42,-0.37,1.833,6.16,0.00,100.69,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u102,IT0004848435,ITALY BTPS HYBRID,0.00,11/1/2023,"1,661,577.78","2,000,000.00",B,A99,BBB-,2017198.26,0,N,42,-0.30,2.833,6.76,0.00,100.86,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u103,ES0213679030,BANKINTER SA  6%  18/12/2028,6.00,12/18/2028,"1,800,476.96","1,803,036.31",B,CCA,BBB,2310884.6,3853.06,N,40,2.14,6.844,6.02,1.00,128.17,Bankinter SA,ES,Fixed excl,SUBORDINATED
u103,ES0000012932,"ESTADO 4,20% 01/37",4.20,1/31/2037,"4,859,261.72","6,500,000.00",B,A99,BBB+,10353005,249877.05,N,40,0.58,12.748,6.83,1.00,159.28,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u103,ES0414970204,"CAIXAB3,875 02/25",3.88,2/17/2025,"2,480,960.59","2,600,000.00",B,DDA,AA,3059420,87536.89,N,40,0.38,3.811,5.13,1.00,117.67,Caja de Ahorros y Pensiones de Barcelona,ES,Fixed excl,SENIOR SECURED
u103,ES0000011868,ESTADO6%E/01-29,6.00,1/31/2029,"7,620,389.38","7,456,133.15",B,A99,BBB+,11169287.46,409476.17,N,40,0.42,6.702,5.65,1.00,149.80,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u103,ES0414950644,"CAJA MM4,125%",4.13,3/24/2036,"2,346,757.92","2,700,000.00",B,DDA,AA,4370625,86048.63,N,40,0.21,12.243,5.41,1.00,161.88,Bankia,ES,Fixed excl,SENIOR SECURED
u103,ES0312342019,"AYTCED 3,75%",3.75,6/30/2025,"6,179,650.94","6,400,000.00",B,DDA,A-,7558080,120986.3,N,40,0.13,4.184,4.61,1.00,118.10,AyT Cedulas Cajas FTA,ES,Fixed excl,SENIOR SECURED
u103,ES0000012411,"ESTADO 5,75% 07/32",5.75,7/30/2032,"1,992,170.33","1,900,000.00",B,A99,BBB+,3123885,46094.52,N,40,0.30,9.348,5.18,1.00,164.42,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u103,ES00000121S7,"ESTADO4,7 07/41",4.70,7/30/2041,"1,727,987.53","2,000,000.00",B,A99,BBB+,3584200,39660.27,N,40,0.67,15.564,5.85,1.00,179.21,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u103,XS0097284573,"NIBC5,5 05/29",5.50,5/7/2029,"999,633.05","1,000,000.00",B,CCA,BBB+,1405943.37,35863.01,N,40,0.88,7.042,5.50,1.00,140.59,NIBC Bank NV,NL,Fixed excl,SENIOR UNSECURED
u103,ES00000120N0,"ESTADO4,9 07/40",4.90,7/30/2040,"445,397.99","500,000.00",B,A99,BBB+,904425,10336.99,N,40,0.61,14.834,5.85,1.00,180.89,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u103,BE0000320292,"BELGIUM KINGDOM 4,25 28/03/2041",4.25,3/28/2041,"7,500,399.39","4,700,000.00",B,A99,AA-,8557196,152138.36,N,40,0.25,15.479,0.99,1.00,182.07,Kingdom of Belgium,BE,Fixed excl,SENIOR UNSECURED
u103,FR0013217114,"ORANGE 0,875% 03/02/2027",0.88,11/3/2026,"981,979.47","1,000,000.00",B,CAF,BBB+,1055440,7937.16,N,40,0.06,5.683,1.20,1.00,105.54,ORANGE,FR,Fixed excl,SENIOR UNSECURED
u103,FR0013216926,"DANONE SA 1,208% 03/11/2028",1.21,8/3/2028,"2,976,991.27","3,000,000.00",B,CAD,BBB+,3298950,5758.68,N,40,-0.08,7.306,1.31,1.00,109.97,Groupe Danone SA,FR,Fixed excl,SENIOR UNSECURED
u103,XS1527556192,"ASML HOLDING NV 1,625% 28/05/2027",1.63,2/28/2027,"1,023,718.02","1,000,000.00",B,CAD,A-,1106340,9660.96,N,40,0.05,5.882,1.22,1.00,110.63,ASML Holding N.V.,NL,Fixed excl,SENIOR UNSECURED
u103,XS1721422068,"VODAFONE 1,875% 20/11/2029",1.88,11/20/2029,"3,772,337.91","3,800,000.00",B,CAH,BBB,4333140,8003.42,N,40,0.30,8.319,1.96,1.00,114.03,Vodafone group PLC,GB,Fixed excl,SENIOR UNSECURED
u103,XS1637863546,"BP CM 1,637% 26/06/2029",1.64,3/26/2029,"3,045,174.25","3,000,000.00",B,CAE,A,3324540,25295.01,N,40,0.40,7.756,1.44,1.00,110.82,BP CAPITAL MARKETS PLC,GB,Fixed excl,SENIOR UNSECURED
u103,XS2102357014,"BMW 0,375% 14/01/2027",0.38,1/14/2027,"904,427.00","900,000.00",B,CAC,A,921330,3245.9,N,40,0.04,5.963,0.29,1.00,102.37,Bayerische Motoren Werke AG,DE,Fixed excl,SENIOR UNSECURED
u103,FR0013479748,"HOFP 0,25% 29/01/2027",0.25,1/29/2027,"299,531.19","300,000.00",B,CAC,A,302097,690.58,N,40,0.17,5.781,0.28,1.00,100.70,THALES SA,FR,Fixed excl,SENIOR UNSECURED
u103,FR0013480514,"CRH 0,25% 07/02/2035",0.25,2/7/2035,"2,478,844.64","2,500,000.00",B,DDA,AAA,2609700,5601.09,N,40,-0.04,13.856,0.31,1.00,104.39,Caisse Refinancement de lHabitat,FR,Fixed excl,SENIOR SECURED
u103,FR0013482841,"MCFP 0,375% 11/02/2031",0.38,2/11/2031,"398,338.05","400,000.00",B,CAC,A+,408252,1327.87,N,40,0.20,9.922,0.42,1.00,102.06,LVMH Moet Hennessy Louis Vuitton,FR,Fixed excl,SENIOR UNSECURED
u103,XS2118273601,"SIEGR O,5% 20/02/2032",0.50,2/20/2032,"300,799.39","300,000.00",B,CAB,A+,314895,1290.98,N,40,0.09,10.834,0.48,1.00,104.97,Siemens Financierings. NV,NL,Fixed excl,SENIOR UNSECURED
u103,DE0001345908,EUROPEAN INVESTMENT BANK  0%  05/11/2026,0.00,11/5/2026,"6,043,506.29","8,500,000.00",B,BD9,AAA,8728905,0,N,42,-0.45,5.847,6.01,0.00,102.69,European Investment Bank,LU,Zero bonds,SENIOR UNSECURED
u103,IT0001247318,BUONI POLIENNALI STRIP  0%  01/05/2023,0.00,5/1/2023,"5,244,772.73","6,000,000.00",B,A99,BBB-,6047481.18,0,N,42,-0.34,2.332,5.92,0.00,100.79,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u103,BE0364779596,SNCB HOLDINGS  0%  28/05/2021,0.00,5/28/2021,"2,440,521.12","2,500,000.00",B,A99,AA-,2506203.2,0,N,42,-0.60,0.403,6.03,0.00,100.25,Soci騁・Nationale Chemins Belges,BE,Zero bonds,SENIOR UNSECURED
u103,XS0055532534,INTL BK RECON & DEVELOP  0%  10/02/2025,0.00,2/10/2025,"1,459,134.60","1,789,521.58",B,BD9,AAA,1826363.07,0,N,42,-0.49,4.112,5.09,0.00,102.06,International Bank for Rec&Dev,US,Zero bonds,SENIOR UNSECURED
u103,XS0056190688,INTL BK RECON & DEVELOP  0%  10/03/2025,0.00,3/10/2025,"2,168,481.72","2,684,282.38",B,BD9,AAA,2740398.38,0,N,42,-0.49,4.189,5.22,0.00,102.09,International Bank for Rec&Dev,US,Zero bonds,SENIOR UNSECURED
u103,IT0001247284,BUONI POLIENNALI STRIP  0%  01/11/2021,0.00,11/1/2021,"4,793,976.94","5,000,000.00",B,A99,BBB-,5024112.15,0,N,42,-0.57,0.833,5.16,0.00,100.48,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u103,ES0000012593,BON Y OBLI EST PRINCIPAL  0%  30/07/2032,0.00,7/30/2032,"203,129.23","400,000.00",B,A99,A-,392272.34,0,N,42,0.17,11.584,6.03,0.00,98.07,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u103,ES00000120B5,BON Y OBLIG ESTADO STRIP  0%  31/01/2037,0.00,1/31/2037,"212,724.69","500,000.00",B,A99,A-,466550.57,0,N,42,0.43,16.099,5.45,0.00,93.31,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u103,IT0001247342,BUONI POLIENNALI STRIP  0%  01/11/2024,0.00,11/1/2024,"4,019,113.11","5,000,000.00",B,A99,BBB-,5041371.25,0,N,42,-0.21,3.836,5.86,0.00,100.83,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u103,ES0000011967,BON Y OBLIG ESTADO STRIP  0%  31/01/2022,0.00,1/31/2022,"5,552,260.42","5,840,000.00",B,A99,A-,5874807.04,0,N,42,-0.55,1.082,4.77,0.00,100.60,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u103,ES00000120O8,BON Y OBLI EST PRINCIPAL  0%  30/07/2040,0.00,7/30/2040,"3,956,921.38","5,200,000.00",B,A99,A-,4473612,0,N,42,0.77,19.589,1.41,0.00,86.03,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u103,ES00000120T7,"STRIP ""0"" 07/37",0.00,7/30/2037,"369,177.31","1,000,000.00",B,A99,A-,927453.59,0,N,42,0.46,16.586,6.20,0.00,92.75,Kingdom of Spain,ES,Zero bonds,SENIOR UNSECURED
u103,IT0004869324,ITALY BTPS HYBRID,0.00,11/1/2022,"8,166,487.05","9,000,000.00",B,A99,BBB-,9061916.85,0,N,42,-0.37,1.833,5.44,0.00,100.69,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u104,XS0093667334,"BEI 5,625 02/28",5.63,2/15/2028,"1,696,919.82","1,730,000.00",B,BD9,AAA,2473657.8,85081.97,N,40,0.23,6.055,5.96,1.00,142.99,European Investment Bank,LU,Fixed excl,SENIOR UNSECURED
u104,IT0003535157,BTPS 5% 08/34,5.00,8/1/2034,"8,276,174.61","7,000,000.00",B,A99,BBB-,10780630,144565.22,N,40,0.93,10.811,3.35,2.00,154.01,Italian Republic,IT,Fixed excl,SENIOR UNSECURED
u104,ES0000012932,"ESTADO 4,20% 01/37",4.20,1/31/2037,"34,379,956.98","28,190,000.00",B,A99,BBB+,44900186.3,1083697.54,N,40,0.58,12.748,2.52,1.00,159.28,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u104,ES0000011868,ESTADO6%E/01-29,6.00,1/31/2029,"8,567,795.53","7,803,036.31",B,A99,BBB+,11688948.39,428527.41,N,40,0.42,6.702,4.52,1.00,149.80,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u104,ES0414950644,"CAJA MM4,125%",4.13,3/24/2036,"6,423,932.08","5,200,000.00",B,DDA,AA,8417500,165723.29,N,40,0.21,12.243,2.28,1.00,161.88,Bankia,ES,Fixed excl,SENIOR SECURED
u104,ES0312342019,"AYTCED 3,75%",3.75,6/30/2025,"1,486,776.97","1,500,000.00",B,DDA,A-,1771425,28356.16,N,40,0.13,4.184,3.96,1.00,118.10,AyT Cedulas Cajas FTA,ES,Fixed excl,SENIOR SECURED
u104,ES0000012411,"ESTADO 5,75% 07/32",5.75,7/30/2032,"26,882,037.19","18,905,000.00",B,A99,BBB+,31082655.75,458640.48,N,40,0.30,9.348,1.70,1.00,164.42,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u104,XS0162513211,"RWE 5,750% 0233",5.75,2/14/2033,"3,137,398.93","2,650,000.00",B,CBA,BBB,4283778,133640.37,N,40,0.82,9.574,3.82,1.00,161.65,RWE AG,NL,Fixed excl,SENIOR UNSECURED
u104,ES0413211071,BBVA 4% 25/02/25,4.00,2/25/2025,"2,025,961.10","2,000,000.00",B,DDA,AA+,2369800,67759.56,N,40,0.33,3.824,3.65,1.00,118.49,Banco Bilbao Vizcaya Argentaria SA,ES,Fixed excl,SENIOR SECURED
u104,ES00000121S7,"ESTADO4,7 07/41",4.70,7/30/2041,"1,587,319.54","1,160,000.00",B,A99,BBB+,2078836,23002.96,N,40,0.67,15.564,2.41,1.00,179.21,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u104,ES00000122E5,"ESTADO4,65 0725",4.65,7/30/2025,"6,133,026.64","6,068,000.00",B,A99,BBB+,7501686.36,119049.17,N,40,-0.07,4.205,4.38,1.00,123.63,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u104,XS0842659426,"ENEL_FIN 4,875 17/04/2023",4.88,4/17/2023,"1,517,011.41","1,500,000.00",B,CBA,BBB+,1676280,51688.36,N,40,1.18,2.164,4.33,1.00,111.75,ENEL FINANCE INTL NV,NL,Fixed excl,SENIOR UNSECURED
